Episodes     MeanReward      MeanSteps
    1000        278.100       1949.200
    2000        636.000        157.000
    3000        628.000         99.000
    4000       -397.900       2005.000
    5000       1668.000        266.000
    6000        231.000         40.000
    7000        642.300       1653.500
    8000       1896.000        290.000
    9000       1691.000        261.000
   10000       1310.000        220.000
   11000        231.000         40.000
   12000       1037.000        168.000
   13000       1831.000        290.000
   14000       1318.000        204.000
   15000       1551.000        236.000
