Episodes     MeanReward      MeanSteps
    1000        139.000       2005.000
    2000        806.000        188.000
    3000        626.000         98.000
    4000       1309.000        226.000
    5000        636.000        157.000
    6000        812.000        160.000
    7000       1401.000        218.000
    8000        231.000         40.000
    9000       1892.000        288.000
   10000       1428.000        217.000
   11000       1551.000        249.000
   12000        716.000        128.000
   13000        231.000         40.000
   14000       1542.200        242.600
   15000       1674.000        253.000
