Episodes     MeanReward      MeanSteps
    1000        588.000        215.000
    2000        469.900       1870.100
    3000        231.000         40.000
    4000        724.500        140.900
    5000       1548.000        237.000
    6000       1318.000        203.000
    7000        231.000         40.000
    8000       1547.000        255.000
    9000       1409.000        214.000
   10000       1400.000        224.000
   11000       1542.000        239.000
   12000       1895.000        290.000
   13000       1809.100       2005.000
   14000        231.000         40.000
   15000       1545.000        262.000
