Episodes     MeanReward      MeanSteps
    1000        175.500       1878.600
    2000        231.000         40.000
    3000        627.000         99.000
    4000        737.000        135.000
    5000       1401.000        273.000
    6000       1407.000        247.000
    7000        231.000         40.000
    8000       1648.400        259.900
    9000       2277.700       1839.800
   10000       1830.000        277.000
   11000       1588.500        415.700
   12000       2999.000        613.000
   13000       1676.000        253.000
   14000       1892.000        290.000
   15000       1892.000        297.000
