Episodes     MeanReward      MeanSteps
    1000        636.000        157.000
    2000        605.000        111.000
    3000        629.000         99.000
    4000       1723.000       2005.000
    5000       1552.000        245.000
    6000       1762.000        317.300
    7000       1550.000        255.000
    8000       1428.000        217.000
    9000       1816.000        287.000
   10000       1134.000        173.000
   11000       1573.900        416.500
   12000       2106.500       1730.900
   13000       1551.000        242.000
   14000       1707.000       2005.000
   15000       1822.000        292.000
