Episodes     MeanReward      MeanSteps
    1000        629.000         99.000
    2000         87.800       1729.200
    3000        811.000        162.000
    4000       1049.000        161.000
    5000        712.000        112.000
    6000        231.000         40.000
    7000       1047.000        172.000
    8000       1851.000        279.000
    9000        740.000        137.000
   10000       1892.000        285.000
   11000       3028.000        466.000
