Episodes     MeanReward      MeanSteps
    1000        607.000        178.000
    2000        806.000        188.000
    3000        626.000         98.000
    4000       1309.000        226.000
    5000        636.000        157.000
    6000       1737.000       1059.000
    7000       1401.000        218.000
    8000        231.000         40.000
    9000       1666.000        264.000
   10000       1428.000        217.000
   11000       1551.000        249.000
   12000        716.000        128.000
   13000       1538.000        260.000
   14000       2793.000       1645.000
   15000       1674.000        253.000
