Episodes     MeanReward      MeanSteps
    1000        139.000       2005.000
    2000        231.000         40.000
    3000        231.000         40.000
    4000        589.000        215.000
    5000       1023.000        299.000
    6000        812.000       1294.000
    7000        626.000         98.000
    8000        741.000        512.000
    9000        629.000         99.000
   10000        636.000        157.000
   11000        636.000        157.000
   12000        636.000        157.000
   13000        228.000         41.000
   14000        627.000        110.000
   15000       1032.000        241.000
