Episodes     MeanReward      MeanSteps
    1000        231.000         40.000
    2000        636.000        157.000
    3000        520.000        737.000
    4000        716.000        137.000
    5000       1048.000        167.000
    6000       1157.000       1007.000
    7000        625.000        110.000
    8000        628.000        101.000
    9000        626.000         98.000
   10000        626.000        105.000
   11000        626.000         98.000
   12000        625.000        100.000
   13000       1283.000        386.000
   14000        767.000        382.000
   15000        231.000         40.000
