Episodes     MeanReward      MeanSteps
    1000        636.000        157.000
    2000        605.000        111.000
    3000        629.000         99.000
    4000        629.000         99.000
    5000       1538.000        317.000
    6000       1409.000        238.000
    7000       1831.000        304.000
    8000       1428.000        217.000
    9000       1816.000        287.000
   10000       1134.000        173.000
   11000       1552.000        240.000
   12000       2520.000        864.000
   13000       1551.000        242.000
   14000       2466.000       1108.000
   15000       1312.000        208.000
