Episodes     MeanReward      MeanSteps
    1000       1006.000        373.000
    2000        443.000       2005.000
    3000        231.000         40.000
    4000        732.000        221.000
    5000       1548.000        237.000
    6000       1318.000        203.000
    7000        231.000         40.000
    8000       1826.000        299.000
    9000       1049.000        166.000
   10000       1551.000        242.000
   11000       1542.000        239.000
   12000       1895.000        290.000
   13000       2523.000       2005.000
   14000        231.000         40.000
   15000       2903.000       1093.000
