Episodes     MeanReward      MeanSteps
    1000        616.000        110.000
    2000        607.000        877.000
    3000        267.000       2020.000
    4000        627.000         99.000
    5000        626.000         98.000
    6000        629.000         99.000
    7000       1016.000        325.000
    8000       1318.000        214.000
    9000       1667.000        270.000
   10000        811.000        165.000
   11000       1049.000        161.000
   12000       1323.000        215.000
   13000       1314.000        200.000
   14000       1314.000        200.000
   15000       1410.000        214.000
