Episodes     MeanReward      MeanSteps
    1000        588.000        174.000
    2000       1033.000        865.000
    3000        636.000        156.000
    4000       1408.000        234.000
    5000        628.000         99.000
    6000        620.000        111.000
    7000        636.000        157.000
    8000       1047.000        178.000
    9000        231.000         40.000
   10000       1398.000        219.000
   11000       1549.000        249.000
   12000        231.000         40.000
   13000        230.000         40.000
   14000       1833.000        282.000
   15000       2340.000        375.000
