Episodes     MeanReward      MeanSteps
    1000        796.000        238.000
    2000        231.000         40.000
    3000        627.000         99.000
    4000        737.000        135.000
    5000       1401.000        273.000
    6000       1405.000        247.000
    7000        231.000         40.000
    8000       1676.000        264.000
    9000       1573.000        611.000
   10000       1550.000        235.000
   11000       1554.000        239.000
   12000       2274.000        686.000
   13000       1676.000        264.000
   14000       2169.000       1109.000
   15000       2205.000        428.000
