Episodes     MeanReward      MeanSteps
    1000        231.000         40.000
    2000        231.000         40.000
    3000        446.000        901.000
    4000        611.000        105.000
    5000        626.000         98.000
    6000       1048.000        169.000
    7000        621.000        101.000
    8000        629.000         99.000
    9000        231.000         40.000
   10000        626.000         98.000
   11000        629.000         99.000
   12000        636.000        157.000
   13000        965.000        577.000
   14000        581.000         92.000
   15000        634.000        653.000
