Episodes     MeanReward      MeanSteps
    1000        231.000         40.000
    2000        636.000        157.000
    3000        636.000        156.000
    4000        625.000         98.000
    5000       1239.000        596.000
    6000        727.000        189.000
    7000        231.000         40.000
    8000        231.000         40.000
    9000        629.000         99.000
   10000        629.000         99.000
   11000        628.000         99.000
   12000        812.000        158.000
   13000        231.000         40.000
   14000       1045.000        183.000
   15000       1311.000        217.000
