Episodes     MeanReward      MeanSteps
    1000        609.000        106.000
    2000        267.000       2005.000
    3000        618.000        103.000
    4000        811.000        162.000
    5000        231.000         40.000
    6000       1050.000        163.000
    7000       1049.000        161.000
    8000       1552.000        236.000
    9000       1534.000        248.000
   10000       1319.000        204.000
   11000       1834.000        397.000
   12000       1577.000        720.000
   13000       1695.000        260.000
   14000       1677.000        262.000
   15000       1314.000        212.000
